,TS代码,股票代码,股票名称,行业
500,002041.SZ,002041,登海种业,种植业
501,002042.SZ,002042,华孚时尚,纺织
502,002043.SZ,002043,兔宝宝,其他建材
503,002044.SZ,002044,美年健康,医疗保健
504,002045.SZ,002045,国光电器,元器件
505,002046.SZ,002046,轴研科技,机械基件
506,002047.SZ,002047,宝鹰股份,装修装饰
507,002048.SZ,002048,宁波华翔,汽车配件
508,002049.SZ,002049,紫光国微,元器件
509,002050.SZ,002050,三花智控,机械基件
510,002051.SZ,002051,中工国际,建筑施工
511,002052.SZ,002052,同洲电子,通信设备
512,002053.SZ,002053,云南能投,食品
513,002054.SZ,002054,德美化工,化工原料
514,002055.SZ,002055,得润电子,元器件
515,002056.SZ,002056,横店东磁,元器件
516,002057.SZ,002057,中钢天源,元器件
517,002058.SZ,002058,威尔泰,电器仪表
518,002059.SZ,002059,云南旅游,旅游景点
519,002060.SZ,002060,粤水电,建筑施工
520,002061.SZ,002061,浙江交科,建筑施工
521,002062.SZ,002062,宏润建设,建筑施工
522,002063.SZ,002063,远光软件,软件服务
523,002064.SZ,002064,华峰氨纶,化纤
524,002065.SZ,002065,东华软件,软件服务
525,002066.SZ,002066,瑞泰科技,其他建材
526,002067.SZ,002067,景兴纸业,造纸
527,002068.SZ,002068,黑猫股份,化工原料
528,002069.SZ,002069,獐子岛,渔业
529,002071.SZ,002071,长城影视,影视音像
530,002072.SZ,002072,*ST凯瑞,互联网
531,002073.SZ,002073,软控股份,软件服务
532,002074.SZ,002074,国轩高科,电气设备
533,002075.SZ,002075,沙钢股份,特种钢
534,002076.SZ,002076,雪莱特,家用电器
535,002077.SZ,002077,大港股份,区域地产
536,002078.SZ,002078,太阳纸业,造纸
537,002079.SZ,002079,苏州固锝,半导体
538,002080.SZ,002080,中材科技,化纤
539,002081.SZ,002081,金螳螂,装修装饰
540,002082.SZ,002082,万邦德,铝
541,002083.SZ,002083,孚日股份,纺织
542,002084.SZ,002084,海鸥住工,家居用品
543,002085.SZ,002085,万丰奥威,汽车配件
544,002086.SZ,002086,ST东海洋,渔业
545,002087.SZ,002087,新野纺织,纺织
546,002088.SZ,002088,鲁阳节能,矿物制品
547,002089.SZ,002089,*ST新海,通信设备
548,002090.SZ,002090,金智科技,软件服务
549,002091.SZ,002091,江苏国泰,商贸代理
550,002092.SZ,002092,中泰化学,化工原料
551,002093.SZ,002093,国脉科技,电信运营
552,002094.SZ,002094,青岛金王,日用化工
553,002095.SZ,002095,生意宝,互联网
554,002096.SZ,002096,南岭民爆,化工原料
555,002097.SZ,002097,山河智能,工程机械
556,002098.SZ,002098,浔兴股份,服饰
557,002099.SZ,002099,海翔药业,化学制药
558,002100.SZ,002100,天康生物,饲料
559,002101.SZ,002101,广东鸿图,机械基件
560,002102.SZ,002102,ST冠福,化学制药
561,002103.SZ,002103,广博股份,互联网
562,002104.SZ,002104,恒宝股份,元器件
563,002105.SZ,002105,信隆健康,文教休闲
564,002106.SZ,002106,莱宝高科,元器件
565,002107.SZ,002107,沃华医药,中成药
566,002108.SZ,002108,沧州明珠,塑料
567,002109.SZ,002109,兴化股份,化工原料
568,002110.SZ,002110,三钢闽光,普钢
569,002111.SZ,002111,威海广泰,航空
570,002112.SZ,002112,三变科技,电气设备
571,002113.SZ,002113,ST天润,互联网
572,002114.SZ,002114,罗平锌电,铅锌
573,002115.SZ,002115,三维通信,互联网
574,002116.SZ,002116,中国海诚,建筑施工
575,002117.SZ,002117,东港股份,广告包装
576,002118.SZ,002118,紫鑫药业,中成药
577,002119.SZ,002119,康强电子,半导体
578,002120.SZ,002120,韵达股份,仓储物流
579,002121.SZ,002121,科陆电子,电器仪表
580,002122.SZ,002122,*ST天马,机械基件
581,002123.SZ,002123,梦网集团,互联网
582,002124.SZ,002124,天邦股份,饲料
583,002125.SZ,002125,湘潭电化,化工原料
584,002126.SZ,002126,银轮股份,汽车配件
585,002127.SZ,002127,南极电商,互联网
586,002128.SZ,002128,露天煤业,煤炭开采
587,002129.SZ,002129,中环股份,半导体
588,002130.SZ,002130,沃尔核材,电气设备
589,002131.SZ,002131,利欧股份,互联网
590,002132.SZ,002132,恒星科技,钢加工
591,002133.SZ,002133,广宇集团,全国地产
592,002134.SZ,002134,天津普林,元器件
593,002135.SZ,002135,东南网架,建筑施工
594,002136.SZ,002136,安纳达,化工原料
595,002137.SZ,002137,麦达数字,互联网
596,002138.SZ,002138,顺络电子,元器件
597,002139.SZ,002139,拓邦股份,元器件
598,002140.SZ,002140,东华科技,建筑施工
599,002141.SZ,002141,贤丰控股,元器件
600,002142.SZ,002142,宁波银行,银行
601,002143.SZ,002143,*ST印纪,影视音像
602,002144.SZ,002144,宏达高科,纺织
603,002145.SZ,002145,中核钛白,化工原料
604,002146.SZ,002146,荣盛发展,全国地产
605,002147.SZ,002147,ST新光,区域地产
606,002148.SZ,002148,北纬科技,互联网
607,002149.SZ,002149,西部材料,小金属
608,002150.SZ,002150,通润装备,机械基件
609,002151.SZ,002151,北斗星通,通信设备
610,002152.SZ,002152,广电运通,电脑设备
611,002153.SZ,002153,石基信息,软件服务
612,002154.SZ,002154,报喜鸟,服饰
